'Date: 2017-03-14, 20:57:25; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 43657;'
'Date: 2017-03-14, 20:57:26; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 43722;'
'Date: 2017-03-14, 20:57:26; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 43726;'
'Date: 2017-03-14, 20:57:26; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 43739;'
'Date: 2017-03-14, 20:57:26; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 43762;'
'Date: 2017-03-14, 20:57:26; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 43836;'
'Date: 2017-03-14, 20:57:26; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 43916;'
'Date: 2017-03-14, 20:57:26; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 43922;'
'Date: 2017-03-14, 20:57:26; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 43925;'
'Date: 2017-03-14, 20:57:27; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 43936;'
'Date: 2017-03-14, 20:57:27; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 43955;'
'Date: 2017-03-14, 20:57:27; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 43961;'
'Date: 2017-03-14, 20:57:27; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 44006;'
'Date: 2017-03-14, 20:57:27; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44021;'
'Date: 2017-03-14, 20:57:27; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44044;'
'Date: 2017-03-14, 20:57:28; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44212;'
'Date: 2017-03-14, 20:57:28; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44216;'
'Date: 2017-03-14, 20:57:28; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44273;'
'Date: 2017-03-14, 20:57:28; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44389;'
'Date: 2017-03-14, 20:57:28; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44514;'
'Date: 2017-03-14, 20:57:28; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44544;'
'Date: 2017-03-14, 20:57:28; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44659;'
'Date: 2017-03-14, 20:57:28; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44662;'
'Date: 2017-03-14, 20:57:29; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44673;'
'Date: 2017-03-14, 20:57:29; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44701;'
'Date: 2017-03-14, 20:57:29; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44702;'
'Date: 2017-03-14, 20:57:29; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44727;'
'Date: 2017-03-14, 20:57:29; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44742;'
'Date: 2017-03-14, 20:57:29; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 44764;'
'Date: 2017-03-14, 20:57:29; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 44824;'
'Date: 2017-03-14, 20:57:29; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44872;'
'Date: 2017-03-14, 20:57:29; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 44921;'
'Date: 2017-03-14, 20:57:30; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45064;'
'Date: 2017-03-14, 20:57:30; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45066;'
'Date: 2017-03-14, 20:57:30; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45084;'
'Date: 2017-03-14, 20:57:30; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 45117;'
'Date: 2017-03-14, 20:57:30; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45163;'
'Date: 2017-03-14, 20:57:31; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45167;'
'Date: 2017-03-14, 20:57:31; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45171;'
'Date: 2017-03-14, 20:57:31; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45182;'
'Date: 2017-03-14, 20:57:31; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45248;'
'Date: 2017-03-14, 20:57:31; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45278;'
'Date: 2017-03-14, 20:57:31; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45280;'
'Date: 2017-03-14, 20:57:31; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 45313;'
'Date: 2017-03-14, 20:57:31; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 45341;'
'Date: 2017-03-14, 20:57:32; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45350;'
'Date: 2017-03-14, 20:57:32; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45377;'
'Date: 2017-03-14, 20:57:32; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45422;'
'Date: 2017-03-14, 20:57:32; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45427;'
'Date: 2017-03-14, 20:57:32; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45466;'
'Date: 2017-03-14, 20:57:32; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45487;'
'Date: 2017-03-14, 20:57:32; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45489;'
'Date: 2017-03-14, 20:57:33; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 45490;'
'Date: 2017-03-14, 20:57:33; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45656;'
'Date: 2017-03-14, 20:57:33; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45806;'
'Date: 2017-03-14, 20:57:33; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45845;'
'Date: 2017-03-14, 20:57:33; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 45984;'
'Date: 2017-03-14, 20:57:33; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 46039;'
'Date: 2017-03-14, 20:57:34; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 46051;'
'Date: 2017-03-14, 20:57:34; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 46054;'
'Date: 2017-03-14, 20:57:34; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 46116;'
'Date: 2017-03-14, 20:57:34; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 46346;'
'Date: 2017-03-14, 20:57:34; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 46386;'
'Date: 2017-03-14, 20:57:34; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 46394;'
'Date: 2017-03-14, 20:57:34; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 46395;'
'Date: 2017-03-14, 20:57:35; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 46396;'
'Date: 2017-03-14, 20:57:35; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 46452;'
'Date: 2017-03-14, 20:57:35; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 46472;'
'Date: 2017-03-14, 20:57:35; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 46497;'
'Date: 2017-03-14, 20:57:35; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 46508;'
'Date: 2017-03-14, 20:57:35; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 46517;'
'Date: 2017-03-14, 20:57:36; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 46524;'
'Date: 2017-03-14, 20:57:36; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 46590;'
'Date: 2017-03-14, 20:57:36; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 46594;'
'Date: 2017-03-14, 20:57:37; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 46637;'
'Date: 2017-03-14, 20:57:37; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 46639;'
'Date: 2017-03-14, 20:57:37; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 46640;'
'Date: 2017-03-14, 20:57:37; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: I; OrderID: 46654;'
'Date: 2017-03-14, 20:57:37; CurPage: /ajax/ajax_add2basket.php; IP: 217.165.183.49; UserID: ; OrderStatus: F; OrderID: 46690;'
